No #,Email title,Device Location,Device Model,,Device Serial #,Column1,Reading,To include meter,Device Email Address
001 -,%printer - %serial - Counter -,Block 2 Level 2 Customer Visitor Centre (CVC),", TASKalfa 5054ci",https://172.27.60.38/,W792Y00912,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,%printer - %serial - %etheraddr - %host - %ip - Counter - Block 3 Level 2 Student Services (CVC),kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,Kyoceracvc@ite.edu.sg
1,%printer - %serial - %etheraddr - %host - %ip - Toner,Block 2 Level 2 Customer Visitor Centre (CVC),TASKalfa 5054ci,,W792Y00912,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg,%printer - %serial - %etheraddr - %host - %ip - Toner - Block 3 Level 2 Student Services (CVC),,
002 -,%printer - %serial - Counter -,Block 3 Level 2 Student Services (SSV),", TASKalfa 5054ci",http://172.27.84.108/,W792300234,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,%printer - %serial - %etheraddr - %host - %ip - Counter - Block 3 Level 2 Student Services (SSV),kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,CWB3LVL2KYOP@ite.edu.sg
2,%printer - %serial - %etheraddr - %host - %ip - Toner,Block 3 Level 2 Student Services (SSV),TASKalfa 5054ci,,W792300234,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg,%printer - %serial - %etheraddr - %host - %ip - Toner - Block 3 Level 2 Student Services (SSV),,
003 -,%printer - %serial - Counter -,"Block 3 Level 3 Student Development (SDV, ASC)",", TASKalfa 5054ci",https://172.27.84.64/,W792Y00913,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,"%printer - %serial - %etheraddr - %host - %ip - Counter - Block 3 Level 3 Student Development (SDV, ASC)",kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,KYOCERASDV@ITE.EDU.SG
3,%printer - %serial - %etheraddr - %host - %ip - Toner,"Block 3 Level 3 Student Development (SDV, ASC)",TASKalfa 5054ci,,W792Y00913,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg,"%printer - %serial - %etheraddr - %host - %ip - Toner - Block 3 Level 3 Student Development (SDV, ASC)",,
004 -,%printer - %serial - Counter -,Block 3 Level 5 Library@West,", TASKalfa 5054ci",https://172.27.84.47/,W792Y00901,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,%printer - %serial - %etheraddr - %host - %ip - Counter - Block 3 Level 5 Library@West,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,kyoceraLIB@ite.edu.sg
4,%printer - %serial - %etheraddr - %host - %ip - Toner,Block 3 Level 5 Library@West,TASKalfa 5054ci,,W792Y00901,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg,%printer - %serial - %etheraddr - %host - %ip - Toner - Block 3 Level 5 Library@West,,
005 -,%printer - %serial - Counter -,Block 3 Level 6 Student Care (SCR),", TASKalfa 5054ci",https://172.27.84.83/,W792Y00900,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,%printer - %serial - %etheraddr - %host - %ip - Counter - Block 3 Level 6 Student Care (SCR),kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg; meter@dsg.kyocera.com,kyoceraSCR@ite.edu.sg
5,%printer - %serial - %etheraddr - %host - %ip - Toner,Block 3 Level 6 Student Care (SCR),TASKalfa 5054ci,,W792Y00900,kairin_simo@ite.edu.sg; ITECW-Kyocera-Monthly@connect.ite.edu.sg,%printer - %serial - %etheraddr - %host - %ip - Toner - Block 3 Level 6 Student Care (SCR),,
